// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B412BB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.0.2
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
38435		9.116336	0.533439	4.436191	0.024272	0.059633	0.339543				0.034588	0.025754	0.006160				-0.432129	0.026367	-0.741943	0.091169	0.005330	0.044351	1.000000	0.000173	0.000129	0.000031	6.043380	-63.835587	-14.404517	0.427087	-0.109693	0.897532	0.155861	0.986688	0.046424	-0.890676	0.120063	0.438498
38436		9.067160	0.534245	4.412464	0.026534	0.061794	0.285041				0.028715	0.020333	0.005943				-0.434570	0.028564	-0.741943	0.090676	0.005339	0.044116	1.000000	0.000144	0.000102	0.000030	6.050445	-63.824360	-14.394057	0.427277	-0.109659	0.897446	0.155580	0.986728	0.046496	-0.890634	0.119758	0.438667
38437		9.096426	0.521869	4.404087	0.046432	0.044252	0.307055				0.030820	0.025532	0.007204				-0.432129	0.028564	-0.744385	0.090970	0.005215	0.044030	1.000000	0.000154	0.000128	0.000036	6.058068	-63.811038	-14.382560	0.427501	-0.109625	0.897343	0.155274	0.986773	0.046577	-0.890580	0.119422	0.438868
38438		9.057616	0.544259	4.384146	0.053602	0.067123	0.264514				0.032925	0.030731	0.008464				-0.429932	0.024170	-0.746582	0.090583	0.005439	0.043828	1.000000	0.000165	0.000154	0.000042	6.063353	-63.794041	-14.367425	0.427788	-0.109578	0.897212	0.154944	0.986821	0.046645	-0.890500	0.119064	0.439129
38439		9.063515	0.536452	4.419678	0.026121	0.061544	0.285044				0.029819	0.037287	0.004627				-0.429932	0.024170	-0.746582	0.090643	0.005360	0.044181	1.000000	0.000149	0.000186	0.000023	6.073475	-63.774208	-14.359017	0.428105	-0.109592	0.897060	0.154658	0.986861	0.046756	-0.890397	0.118721	0.439429
38440		9.028450	0.520208	4.462368	-0.026077	0.052897	0.271596				0.030960	0.035877	0.003315				-0.432373	0.032959	-0.739990	0.090292	0.005197	0.044608	1.000000	0.000155	0.000179	0.000017	6.082965	-63.753969	-14.349822	0.428429	-0.109602	0.896903	0.154368	0.986901	0.046862	-0.890291	0.118376	0.439737
38441		9.060574	0.538395	4.425470	0.025876	0.061253	0.285046				0.029232	0.025963	0.004913				-0.427734	0.028564	-0.742188	0.090611	0.005380	0.044244	1.000000	0.000146	0.000130	0.000025	6.095236	-63.740408	-14.343871	0.428646	-0.109610	0.896799	0.154086	0.986940	0.046979	-0.890236	0.118046	0.439938
38442		8.989319	0.519639	4.419949	-0.000410	0.048739	0.217839				0.026600	0.024326	0.004657				-0.432129	0.026367	-0.749023	0.089898	0.005193	0.044189	1.000000	0.000133	0.000122	0.000023	6.102100	-63.726833	-14.334530	0.428870	-0.109593	0.896694	0.153829	0.986977	0.047054	-0.890173	0.117757	0.440143
38443		9.017603	0.531297	4.436571	0.000644	0.057600	0.251073				0.024576	0.024836	0.004105				-0.427734	0.028564	-0.737305	0.090181	0.005309	0.044355	1.000000	0.000123	0.000124	0.000021	6.114348	-63.713821	-14.331182	0.429074	-0.109618	0.896593	0.153591	0.987008	0.047170	-0.890115	0.117469	0.440336
38444		9.007255	0.588802	4.455800	-0.009603	0.116487	0.252988				0.025522	0.030373	0.001359				-0.432129	0.026367	-0.746582	0.090079	0.005883	0.044545	1.000000	0.000128	0.000152	0.000007	6.123650	-63.696601	-14.325247	0.429346	-0.109640	0.896460	0.153358	0.987039	0.047270	-0.890024	0.117184	0.440596
38445		8.995389	0.567967	4.454984	-0.014755	0.095158	0.241030				0.019547	0.028424	0.000430				-0.429932	0.024170	-0.748779	0.089960	0.005676	0.044538	1.000000	0.000098	0.000142	0.000002	6.139337	-63.680918	-14.328402	0.429578	-0.109725	0.896339	0.153181	0.987060	0.047417	-0.889943	0.116933	0.440827
38446		9.005884	0.566451	4.435469	0.008891	0.089127	0.241774				0.017638	0.016276	0.000612				-0.429932	0.024170	-0.746582	0.090062	0.005661	0.044348	1.000000	0.000088	0.000081	0.000003	6.146722	-63.671684	-14.325366	0.429724	-0.109738	0.896267	0.153022	0.987081	0.047489	-0.889900	0.116741	0.440964
38447		9.023123	0.580464	4.472579	-0.013664	0.103563	0.274271				0.012624	0.010678	-0.003046				-0.432129	0.024170	-0.744141	0.090234	0.005800	0.044721	1.000000	0.000063	0.000053	-0.000015	6.167590	-63.665453	-14.338003	0.429794	-0.109857	0.896219	0.152920	0.987089	0.047660	-0.889883	0.116566	0.441044
38448		9.075011	0.587340	4.445109	0.034945	0.100766	0.308993				0.004465	0.008081	-0.000644				-0.432129	0.028564	-0.737305	0.090752	0.005872	0.044448	1.000000	0.000022	0.000040	-0.000003	6.169887	-63.660810	-14.337710	0.429865	-0.109873	0.896183	0.152883	0.987093	0.047686	-0.889856	0.116513	0.441114
38449		9.053492	0.543971	4.439259	0.024868	0.058240	0.285067				0.001300	0.010003	0.000110				-0.427734	0.030762	-0.742188	0.090537	0.005439	0.044388	1.000000	0.000007	0.000050	0.000001	6.183882	-63.655028	-14.349433	0.429930	-0.109983	0.896138	0.152873	0.987089	0.047803	-0.889826	0.116443	0.441193
38450		9.124195	0.539864	4.422998	0.069887	0.043996	0.341055				0.004447	0.007001	-0.005948				-0.429688	0.024170	-0.741943	0.091244	0.005395	0.044227	1.000000	0.000022	0.000035	-0.000030	6.192400	-63.650677	-14.356094	0.429983	-0.110050	0.896105	0.152859	0.987088	0.047876	-0.889803	0.116391	0.441253
38451		9.124524	0.516438	4.399451	0.088249	0.016064	0.329835				0.000558	0.019434	-0.005634				-0.429932	0.028564	-0.749023	0.091250	0.005162	0.043986	1.000000	0.000003	0.000097	-0.000028	6.212685	-63.639652	-14.375005	0.430114	-0.110234	0.896019	0.152878	0.987076	0.048051	-0.889736	0.116315	0.441407
38452		9.082587	0.508215	4.408530	0.063287	0.012838	0.295855				-0.003940	0.029720	-0.005024				-0.429932	0.026367	-0.746582	0.090833	0.005081	0.044072	1.000000	-0.000020	0.000149	-0.000025	6.212479	-63.622415	-14.377297	0.430370	-0.110319	0.895886	0.152935	0.987066	0.048079	-0.889602	0.116321	0.441676
38453		9.059231	0.489185	4.429215	0.034126	-0.003072	0.283141				-0.003682	0.027400	-0.008181				-0.432129	0.026367	-0.741943	0.090599	0.004889	0.044280	1.000000	-0.000018	0.000137	-0.000041	6.233576	-63.607913	-14.399163	0.430548	-0.110539	0.895773	0.152996	0.987047	0.048266	-0.889506	0.116269	0.441883
38454		9.079265	0.533136	4.438019	0.043934	0.038334	0.307090				-0.003215	0.019210	-0.004587				-0.427734	0.028564	-0.746826	0.090797	0.005330	0.044371	1.000000	-0.000016	0.000096	-0.000023	6.234580	-63.596685	-14.402345	0.430712	-0.110607	0.895686	0.153044	0.987039	0.048293	-0.889418	0.116280	0.442057
38455		9.128585	0.485321	4.415810	0.078422	-0.018531	0.339134				-0.004338	0.011440	-0.003269				-0.432129	0.024170	-0.744141	0.091288	0.004853	0.044153	1.000000	-0.000022	0.000057	-0.000016	6.251456	-63.592210	-14.420295	0.430745	-0.110759	0.895651	0.153095	0.987024	0.048431	-0.889393	0.116259	0.442112
38456		9.119856	0.518255	4.408904	0.086917	0.013622	0.329850				-0.004353	0.010361	-0.008573				-0.432129	0.024170	-0.746582	0.091201	0.005180	0.044084	1.000000	-0.000022	0.000052	-0.000043	6.257476	-63.585774	-14.429810	0.430824	-0.110856	0.895601	0.153171	0.987009	0.048488	-0.889342	0.116290	0.442207
38457		9.098095	0.474853	4.403592	0.076120	-0.029005	0.305899				-0.007858	0.019158	-0.000088				-0.429932	0.028564	-0.746826	0.090985	0.004750	0.044027	1.000000	-0.000039	0.000096	-0.000000	6.268915	-63.578565	-14.443254	0.430907	-0.110985	0.895545	0.153231	0.986995	0.048589	-0.889292	0.116288	0.442309
38458		9.100438	0.505191	4.376272	0.108260	-0.002884	0.297368				-0.000676	0.024327	-0.005061				-0.430176	0.030762	-0.746826	0.091010	0.005050	0.043752	1.000000	-0.000003	0.000122	-0.000025	6.271271	-63.564401	-14.446315	0.431115	-0.111063	0.895435	0.153259	0.986989	0.048631	-0.889186	0.116268	0.442528
38459		9.058445	0.496976	4.385399	0.082068	-0.007078	0.263390				0.004159	0.027695	-0.002833				-0.425293	0.026367	-0.744385	0.090591	0.004968	0.043842	1.000000	0.000021	0.000138	-0.000014	6.289440	-63.553879	-14.460562	0.431247	-0.111211	0.895354	0.153231	0.986985	0.048789	-0.889127	0.116156	0.442676
38460		9.097032	0.530149	4.405906	0.088272	0.022866	0.308614				0.005476	0.028516	-0.002709				-0.427734	0.026367	-0.744385	0.090977	0.005299	0.044046	1.000000	0.000027	0.000143	-0.000014	6.292059	-63.537475	-14.459995	0.431496	-0.111271	0.895226	0.153194	0.986989	0.048838	-0.889012	0.116070	0.442928
38461		9.084276	0.532969	4.429724	0.063352	0.028039	0.307875				0.003985	0.025462	-0.004265				-0.423340	0.028564	-0.744385	0.090849	0.005327	0.044286	1.000000	0.000020	0.000127	-0.000021	6.310613	-63.528468	-14.475067	0.431603	-0.111420	0.895156	0.153173	0.986984	0.048996	-0.888964	0.115967	0.443052
38462		9.095769	0.507188	4.385738	0.105744	-0.004722	0.297394				0.007422	0.022300	-0.002864				-0.429932	0.028564	-0.739746	0.090963	0.005069	0.043847	1.000000	0.000037	0.000111	-0.000014	6.315299	-63.515585	-14.475562	0.431797	-0.111474	0.895056	0.153120	0.986989	0.049055	-0.888879	0.115869	0.443248
38463		9.083168	0.510186	4.409201	0.080635	0.000543	0.296654				0.008469	0.024362	-0.004891				-0.425537	0.032959	-0.744629	0.090837	0.005098	0.044081	1.000000	0.000042	0.000122	-0.000024	6.336706	-63.508354	-14.492020	0.431875	-0.111626	0.894999	0.153077	0.986987	0.049233	-0.888849	0.115742	0.443342
38464		9.071362	0.488775	4.408421	0.075738	-0.020150	0.284666				0.004957	0.033162	0.003586				-0.427734	0.026367	-0.749023	0.090721	0.004888	0.044069	1.000000	0.000025	0.000166	0.000018	6.331204	-63.489695	-14.482721	0.432175	-0.111629	0.894854	0.153018	0.986997	0.049222	-0.888713	0.115656	0.443636
38465		9.031347	0.534804	4.413574	0.062487	0.028758	0.253402				0.012677	0.034770	-0.002389				-0.429932	0.026367	-0.746582	0.090321	0.005344	0.044120	1.000000	0.000063	0.000174	-0.000012	6.351300	-63.478099	-14.494383	0.432327	-0.111762	0.894764	0.152917	0.987004	0.049398	-0.888656	0.115468	0.443799
38466		9.017142	0.561825	4.462823	0.020097	0.061525	0.263874				0.014441	0.036586	0.001312				-0.429932	0.028564	-0.749023	0.090180	0.005616	0.044612	1.000000	0.000072	0.000183	0.000007	6.353351	-63.457336	-14.487469	0.432655	-0.111791	0.894602	0.152783	0.987022	0.049450	-0.888520	0.115285	0.444120
38467		9.014743	0.586286	4.490216	-0.000620	0.087248	0.275114				0.005848	0.023805	0.000150				-0.432129	0.024170	-0.748779	0.090153	0.005862	0.044892	1.000000	0.000029	0.000119	0.000001	6.372139	-63.453193	-14.500401	0.432692	-0.111905	0.894570	0.152718	0.987024	0.049603	-0.888513	0.115154	0.444168
38468		8.977491	0.584230	4.444487	0.025353	0.083451	0.221381				0.005421	0.013624	-0.003401				-0.429932	0.026367	-0.739746	0.089778	0.005840	0.044439	1.000000	0.000027	0.000068	-0.000017	6.377300	-63.445218	-14.502743	0.432808	-0.111954	0.894507	0.152685	0.987027	0.049657	-0.888462	0.115086	0.444287
38469		8.956042	0.643690	4.483731	-0.010392	0.147136	0.222606				0.002787	0.011983	-0.003655				-0.429688	0.021973	-0.746582	0.089563	0.006435	0.044832	1.000000	0.000014	0.000060	-0.000018	6.402735	-63.446675	-14.524569	0.432744	-0.112113	0.894519	0.152665	0.987020	0.049851	-0.888497	0.114989	0.444242
38470		9.019285	0.648081	4.435901	0.061814	0.138271	0.258151				-0.006639	0.022379	-0.006029				-0.430176	0.030762	-0.744385	0.090198	0.006480	0.044349	1.000000	-0.000033	0.000112	-0.000030	6.402885	-63.433582	-14.529023	0.432933	-0.112198	0.894417	0.152751	0.987005	0.049875	-0.888390	0.115030	0.444445
38471		8.965792	0.641954	4.465988	0.011472	0.139548	0.223396				-0.014905	0.022173	-0.009673				-0.427979	0.032959	-0.749268	0.089663	0.006419	0.044649	1.000000	-0.000075	0.000111	-0.000048	6.427506	-63.427940	-14.560643	0.432956	-0.112459	0.894372	0.152919	0.986969	0.050076	-0.888350	0.115085	0.444511
38472		8.980264	0.601242	4.508309	-0.024306	0.101959	0.253120				-0.014013	0.012812	-0.013096				-0.432373	0.030762	-0.744385	0.089806	0.006010	0.045077	1.000000	-0.000070	0.000064	-0.000065	6.432698	-63.419863	-14.575457	0.433049	-0.112603	0.894309	0.153100	0.986938	0.050130	-0.888273	0.115210	0.444632
38473		9.001906	0.620787	4.491288	0.002458	0.114927	0.265910				-0.027178	0.005685	-0.009067				-0.429932	0.028564	-0.744385	0.090021	0.006210	0.044909	1.000000	-0.000136	0.000028	-0.000045	6.453095	-63.423410	-14.612322	0.432923	-0.112867	0.894337	0.153416	0.986882	0.050282	-0.888280	0.115437	0.444559
38474		8.970111	0.555604	4.481612	-0.012217	0.052873	0.229896				-0.027359	0.001292	-0.021104				-0.425781	0.032959	-0.749268	0.089702	0.005553	0.044815	1.000000	-0.000137	0.000006	-0.000106	6.461144	-63.421398	-14.638929	0.432901	-0.113076	0.894321	0.153751	0.986826	0.050348	-0.888233	0.115707	0.444583
38475		9.000380	0.543002	4.471667	0.006429	0.033631	0.251920				-0.032356	-0.003232	-0.019466				-0.425781	0.032959	-0.749268	0.090004	0.005428	0.044717	1.000000	-0.000162	-0.000016	-0.000097	6.490911	-63.427068	-14.689055	0.432716	-0.113433	0.894366	0.154148	0.986753	0.050569	-0.888254	0.115983	0.444469
38476		9.008472	0.510636	4.479839	-0.002095	0.001488	0.261153				-0.032105	0.004715	-0.017344				-0.423096	0.026367	-0.741943	0.090086	0.005106	0.044795	1.000000	-0.000161	0.000024	-0.000087	6.491453	-63.423348	-14.710344	0.432730	-0.113608	0.894337	0.154509	0.986696	0.050580	-0.888184	0.116296	0.444526
38477		9.038403	0.497816	4.470611	0.017101	-0.017500	0.283169				-0.032468	0.009437	-0.020227				-0.429932	0.028564	-0.742188	0.090387	0.004976	0.044701	1.000000	-0.000162	0.000047	-0.000101	6.515370	-63.419019	-14.754789	0.432707	-0.113961	0.894303	0.154908	0.986623	0.050773	-0.888126	0.116564	0.444572
38478		8.998193	0.465553	4.453375	0.010949	-0.047371	0.237904				-0.029299	0.007518	-0.020974				-0.430176	0.030762	-0.742188	0.089984	0.004653	0.044530	1.000000	-0.000146	0.000038	-0.000105	6.521231	-63.413440	-14.780248	0.432741	-0.114175	0.894259	0.155260	0.986565	0.050829	-0.888048	0.116847	0.444654
38479		9.003780	0.481715	4.511587	-0.036438	-0.027501	0.269596				-0.024815	0.006421	-0.021592				-0.427734	0.026367	-0.741943	0.090040	0.004813	0.045112	1.000000	-0.000124	0.000032	-0.000108	6.552441	-63.413850	-14.828888	0.432637	-0.114541	0.894262	0.155614	0.986497	0.051070	-0.888037	0.117064	0.444620
38480		9.014022	0.504236	4.515427	-0.031568	-0.006793	0.281612				-0.026643	-0.000026	-0.020702				-0.425537	0.032959	-0.744629	0.090141	0.005039	0.045154	1.000000	-0.000133	-0.000000	-0.000104	6.560474	-63.412632	-14.855092	0.432603	-0.114744	0.894253	0.155941	0.986442	0.051135	-0.887996	0.117330	0.444631
38481		9.044307	0.491867	4.505459	-0.012340	-0.025406	0.303625				-0.025935	-0.001353	-0.020278				-0.423096	0.026367	-0.749023	0.090443	0.004915	0.045055	1.000000	-0.000130	-0.000007	-0.000101	6.584772	-63.414775	-14.897466	0.432486	-0.115055	0.894270	0.156292	0.986377	0.051319	-0.887991	0.117573	0.444576
38482		8.987979	0.524951	4.471640	-0.001458	0.009069	0.239915				-0.027347	0.001305	-0.021135				-0.430176	0.032959	-0.742188	0.089881	0.005246	0.044715	1.000000	-0.000137	0.000007	-0.000106	6.592696	-63.412778	-14.924014	0.432463	-0.115264	0.894254	0.156628	0.986320	0.051385	-0.887943	0.117844	0.444600
38483		9.036824	0.502019	4.473333	0.014182	-0.020978	0.283167				-0.020329	0.005330	-0.022216				-0.425537	0.030762	-0.749023	0.090370	0.005015	0.044730	1.000000	-0.000102	0.000027	-0.000111	6.620773	-63.410788	-14.965920	0.432408	-0.115588	0.894239	0.156916	0.986263	0.051606	-0.887919	0.118006	0.444606
38484		9.035312	0.526995	4.498758	-0.004592	0.005770	0.294407				-0.022789	0.005921	-0.021049				-0.427734	0.028564	-0.742188	0.090355	0.005266	0.044984	1.000000	-0.000114	0.000030	-0.000105	6.630572	-63.406158	-14.991656	0.432426	-0.115801	0.894202	0.157211	0.986211	0.051690	-0.887858	0.118227	0.444669
38485		9.065586	0.514891	4.488798	0.014731	-0.012684	0.316423				-0.019324	-0.006430	-0.019625				-0.425537	0.030762	-0.744385	0.090655	0.005144	0.044890	1.000000	-0.000097	-0.000032	-0.000098	6.656241	-63.410893	-15.030460	0.432276	-0.116074	0.894239	0.157477	0.986159	0.051881	-0.887884	0.118396	0.444572
38486		9.077369	0.513681	4.466995	0.038357	-0.018694	0.317205				-0.014670	-0.005292	-0.018810				-0.423340	0.032959	-0.742188	0.090773	0.005132	0.044672	1.000000	-0.000073	-0.000026	-0.000094	6.669618	-63.412783	-15.055002	0.432198	-0.116252	0.894254	0.157691	0.986119	0.051981	-0.887884	0.118549	0.444531
38487		9.094994	0.527767	4.502946	0.015583	-0.003909	0.349681				-0.016352	-0.000320	-0.016507				-0.427734	0.030762	-0.749023	0.090950	0.005274	0.045029	1.000000	-0.000082	-0.000002	-0.000083	6.685655	-63.413270	-15.085665	0.432128	-0.116481	0.894258	0.157970	0.986068	0.052105	-0.887869	0.118750	0.444509
38488		9.046909	0.528359	4.477028	0.017961	-0.001578	0.295190				-0.015744	0.001831	-0.016805				-0.427979	0.032959	-0.742188	0.090470	0.005280	0.044769	1.000000	-0.000079	0.000009	-0.000084	6.695110	-63.411222	-15.106548	0.432117	-0.116647	0.894242	0.158184	0.986030	0.052182	-0.887836	0.118906	0.444532
38489		9.093530	0.553210	4.528193	-0.004059	0.022246	0.360924				-0.013282	0.002311	-0.012665				-0.420898	0.028564	-0.744385	0.090936	0.005529	0.045281	1.000000	-0.000066	0.000012	-0.000063	6.711673	-63.412947	-15.133613	0.432036	-0.116844	0.894255	0.158392	0.985990	0.052307	-0.887839	0.119044	0.444490
38490		9.075695	0.540667	4.492492	0.018325	0.007056	0.328450				-0.016281	0.005392	-0.015803				-0.430176	0.030762	-0.749023	0.090759	0.005403	0.044922	1.000000	-0.000081	0.000027	-0.000079	6.719139	-63.408950	-15.152650	0.432057	-0.117004	0.894224	0.158607	0.985952	0.052373	-0.887790	0.119203	0.444545
38491		9.063836	0.543150	4.514291	-0.005752	0.012381	0.327666				-0.017934	0.002241	-0.008175				-0.434570	0.028564	-0.744385	0.090639	0.005432	0.045141	1.000000	-0.000090	0.000011	-0.000041	6.728016	-63.408413	-15.171555	0.432026	-0.117149	0.894220	0.158796	0.985918	0.052442	-0.887771	0.119342	0.444545
38492		9.037862	0.562785	4.470466	0.025164	0.029358	0.285988				-0.013181	-0.001166	-0.011947				-0.434326	0.024170	-0.744141	0.090379	0.005625	0.044705	1.000000	-0.000066	-0.000006	-0.000060	6.733745	-63.408376	-15.186663	0.431996	-0.117263	0.894220	0.158967	0.985888	0.052487	-0.887755	0.119477	0.444541
38493		9.037695	0.563205	4.470750	0.023329	0.028085	0.285996				-0.017157	0.005557	-0.012352				-0.423340	0.032959	-0.749268	0.090379	0.005630	0.044705	1.000000	-0.000086	0.000028	-0.000062	6.759042	-63.412642	-15.218175	0.431867	-0.117483	0.894253	0.159113	0.985854	0.052675	-0.887791	0.119539	0.444451
38494		9.051541	0.546128	4.536893	-0.031275	0.017215	0.326878				-0.018842	0.010527	-0.010047				-0.425537	0.028564	-0.746826	0.090518	0.005461	0.045364	1.000000	-0.000094	0.000053	-0.000050	6.757938	-63.406195	-15.229213	0.431942	-0.117592	0.894203	0.159326	0.985820	0.052679	-0.887717	0.119716	0.444552
38495		9.051206	0.546404	4.537528	-0.031333	0.016643	0.326878				-0.014594	0.001493	-0.012804				-0.430176	0.032959	-0.746826	0.090513	0.005462	0.045374	1.000000	-0.000073	0.000007	-0.000064	6.771040	-63.403890	-15.251591	0.431930	-0.117771	0.894185	0.159510	0.985784	0.052785	-0.887689	0.119832	0.444576
38496		9.093334	0.531695	4.505838	0.012286	-0.006898	0.349684				-0.017628	-0.009259	-0.011333				-0.425537	0.032959	-0.744629	0.090932	0.005316	0.045062	1.000000	-0.000088	-0.000046	-0.000057	6.774715	-63.408551	-15.267209	0.431828	-0.117869	0.894221	0.159718	0.985749	0.052804	-0.887702	0.120021	0.444500
38497		9.087589	0.516584	4.447909	0.057716	-0.028475	0.318003				-0.015370	-0.001824	-0.008631				-0.429932	0.028564	-0.742188	0.090876	0.005165	0.044480	1.000000	-0.000077	-0.000009	-0.000043	6.781706	-63.411911	-15.286896	0.431737	-0.118004	0.894247	0.159945	0.985710	0.052853	-0.887705	0.120212	0.444442
38498		9.097786	0.538681	4.451844	0.062578	-0.007758	0.330036				-0.007685	0.010068	-0.009279				-0.425537	0.030762	-0.742188	0.090980	0.005384	0.044514	1.000000	-0.000038	0.000050	-0.000046	6.786040	-63.405730	-15.296932	0.431809	-0.118105	0.894199	0.160056	0.985690	0.052898	-0.887650	0.120280	0.444533
38499		9.063547	0.521608	4.492137	0.009617	-0.016840	0.316424				-0.012438	0.012409	-0.010823				-0.427734	0.030762	-0.742188	0.090639	0.005214	0.044915	1.000000	-0.000062	0.000062	-0.000054	6.798210	-63.401586	-15.317911	0.431829	-0.118280	0.894167	0.160232	0.985655	0.053000	-0.887609	0.120388	0.444586
38500		9.052641	0.500175	4.489565	0.004707	-0.037471	0.304390				-0.012942	0.006779	-0.009810				-0.430176	0.032959	-0.749268	0.090528	0.005000	0.044892	1.000000	-0.000065	0.000034	-0.000049	6.800605	-63.397281	-15.329139	0.431870	-0.118382	0.894133	0.160392	0.985628	0.053026	-0.887560	0.120511	0.444651
38501		9.062735	0.522232	4.493703	0.008706	-0.017065	0.316424				-0.009336	0.005848	-0.006967				-0.425781	0.032959	-0.751465	0.090629	0.005221	0.044934	1.000000	-0.000047	0.000029	-0.000035	6.808538	-63.397929	-15.344463	0.431829	-0.118495	0.894138	0.160532	0.985602	0.053087	-0.887555	0.120614	0.444634
